Company,Folder,Key_Original,Value_New,URL,NewFileName,Status
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,Báo cáo thường niên năm 2015.pdf,Báo cáo thường niên năm 2015.pdf,local://material/HoaPhat/Báo cáo thường niên năm 2015.pdf,HPG_AR_2015FY,1
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,BCTC Công ty mẹ sau kiểm toán năm 2025.pdf,BCTC Công ty mẹ sau kiểm toán năm 2025.pdf,local://material/HoaPhat/BCTC Công ty mẹ sau kiểm toán năm 2025.pdf,HPG_PCFS_UNAUD_2025FY,1
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,BCTC hợp nhất năm 2025 sau kiểm toán.pdf,BCTC hợp nhất năm 2025 sau kiểm toán.pdf,local://material/HoaPhat/BCTC hợp nhất năm 2025 sau kiểm toán.pdf,HPG_CFS_AU_2025FY,1
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,Báo cáo thường niên 2009 (PHẦN II).pdf,Báo cáo thường niên 2009 (PHẦN II).pdf,local://material/HoaPhat/Báo cáo thường niên 2009 (PHẦN II).pdf,HPG_AR_2009FY_2,1
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,Báo cáo thường niên 2010 (PHẦN II).pdf,Báo cáo thường niên 2010 (PHẦN II).pdf,local://material/HoaPhat/Báo cáo thường niên 2010 (PHẦN II).pdf,HPG_AR_2010FY_2,1
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,Báo cáo thường niên năm 2011.pdf,Báo cáo thường niên năm 2011.pdf,local://material/HoaPhat/Báo cáo thường niên năm 2011.pdf,HPG_AR_2011FY,1
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,Báo cáo thường niên năm 2012.pdf,Báo cáo thường niên năm 2012.pdf,local://material/HoaPhat/Báo cáo thường niên năm 2012.pdf,HPG_AR_2012FY,1
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,Báo cáo thường niên năm 2013.pdf,Báo cáo thường niên năm 2013.pdf,local://material/HoaPhat/Báo cáo thường niên năm 2013.pdf,HPG_AR_2013FY,1
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,Báo cáo thường niên năm 2014.pdf,Báo cáo thường niên năm 2014.pdf,local://material/HoaPhat/Báo cáo thường niên năm 2014.pdf,HPG_AR_2014FY,1
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,Báo cáo thường niên năm 2016.pdf,Báo cáo thường niên năm 2016.pdf,local://material/HoaPhat/Báo cáo thường niên năm 2016.pdf,HPG_AR_2016FY,1
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,Báo cáo thường niên năm 2017.pdf,Báo cáo thường niên năm 2017.pdf,local://material/HoaPhat/Báo cáo thường niên năm 2017.pdf,HPG_AR_2017FY,1
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,Báo cáo thường niên năm 2018.pdf,Báo cáo thường niên năm 2018.pdf,local://material/HoaPhat/Báo cáo thường niên năm 2018.pdf,HPG_AR_2018FY,1
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,Báo cáo thường niên năm 2019.pdf,Báo cáo thường niên năm 2019.pdf,local://material/HoaPhat/Báo cáo thường niên năm 2019.pdf,HPG_AR_2019FY,1
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,Báo cáo thường niên năm 2020.pdf,Báo cáo thường niên năm 2020.pdf,local://material/HoaPhat/Báo cáo thường niên năm 2020.pdf,HPG_AR_2020FY,1
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,Báo cáo thường niên năm 2021.pdf,Báo cáo thường niên năm 2021.pdf,local://material/HoaPhat/Báo cáo thường niên năm 2021.pdf,HPG_AR_2021FY,1
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,Báo cáo thường niên năm 2022.pdf,Báo cáo thường niên năm 2022.pdf,local://material/HoaPhat/Báo cáo thường niên năm 2022.pdf,HPG_AR_2022FY,1
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,Báo cáo thường niên năm 2023.pdf,Báo cáo thường niên năm 2023.pdf,local://material/HoaPhat/Báo cáo thường niên năm 2023.pdf,HPG_AR_2023FY,1
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,Báo cáo thường niên năm 2024.pdf,Báo cáo thường niên năm 2024.pdf,local://material/HoaPhat/Báo cáo thường niên năm 2024.pdf,HPG_AR_2024FY,1
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,Báo cáo thường niên năm 2025.pdf,Báo cáo thường niên năm 2025.pdf,local://material/HoaPhat/Báo cáo thường niên năm 2025.pdf,HPG_AR_2025FY,1
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,Báo cáo tài chính Công ty mẹ năm 2024.pdf,Báo cáo tài chính Công ty mẹ năm 2024.pdf,local://material/HoaPhat/Báo cáo tài chính Công ty mẹ năm 2024.pdf,HPG_PCFS_AUD_2024FY,1
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,Báo cáo tài chính Công ty mẹ Qúy I năm 2025.pdf,Báo cáo tài chính Công ty mẹ Qúy I năm 2025.pdf,local://material/HoaPhat/Báo cáo tài chính Công ty mẹ Qúy I năm 2025.pdf,HPG_PCFS_AUD_2025Q1,1
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,Báo cáo tài chính hợp nhất năm 2024.pdf,Báo cáo tài chính hợp nhất năm 2024.pdf,local://material/HoaPhat/Báo cáo tài chính hợp nhất năm 2024.pdf,HPG_CFS_2024FY,1
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,Báo cáo tài chính hợp nhất Quý I2026.pdf,Báo cáo tài chính hợp nhất Quý I2026.pdf,local://material/HoaPhat/Báo cáo tài chính hợp nhất Quý I2026.pdf,HPG_CFS_2026Q1,1
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,Báo cáo tài chính hợp nhất Quý IV năm 2024.pdf,Báo cáo tài chính hợp nhất Quý IV năm 2024.pdf,local://material/HoaPhat/Báo cáo tài chính hợp nhất Quý IV năm 2024.pdf,HPG_CFS_2024Q4,1
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,Báo cáo tài chính hợp nhất Qúy I năm 2025.pdf,Báo cáo tài chính hợp nhất Qúy I năm 2025.pdf,local://material/HoaPhat/Báo cáo tài chính hợp nhất Qúy I năm 2025.pdf,HPG_CFS_2025Q1,1
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,Báo cáo tài chính hợp nhất Qúy II năm 2025.pdf,Báo cáo tài chính hợp nhất Qúy II năm 2025.pdf,local://material/HoaPhat/Báo cáo tài chính hợp nhất Qúy II năm 2025.pdf,HPG_CFS_2025Q2,1
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,Báo cáo tài chính hợp nhất Qúy III năm 2025.pdf,Báo cáo tài chính hợp nhất Qúy III năm 2025.pdf,local://material/HoaPhat/Báo cáo tài chính hợp nhất Qúy III năm 2025.pdf,HPG_CFS_2025Q3,1
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,Báo cáo tài chính hợp nhất Qúy IV năm 2025.pdf,Báo cáo tài chính hợp nhất Qúy IV năm 2025.pdf,local://material/HoaPhat/Báo cáo tài chính hợp nhất Qúy IV năm 2025.pdf,HPG_CFS_2025Q4,1
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,Báo cáo tài chính hợp nhất đã soát xét 30.06.2025.pdf,Báo cáo tài chính hợp nhất đã soát xét 30.06.2025.pdf,local://material/HoaPhat/Báo cáo tài chính hợp nhất đã soát xét 30.06.2025.pdf,HPG_CFS_2025H1,1
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,Báo cáo tài chính riêng Công ty mẹ Quý IV năm 2024.pdf,Báo cáo tài chính riêng Công ty mẹ Quý IV năm 2024.pdf,local://material/HoaPhat/Báo cáo tài chính riêng Công ty mẹ Quý IV năm 2024.pdf,HPG_PCFS_2024Q4,1
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,Báo cáo tài chính riêng Quý I2026.pdf,Báo cáo tài chính riêng Quý I2026.pdf,local://material/HoaPhat/Báo cáo tài chính riêng Quý I2026.pdf,HPG_PCFS_2026Q1,1
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,Báo cáo tài chính riêng Qúy II năm 2025.pdf,Báo cáo tài chính riêng Qúy II năm 2025.pdf,local://material/HoaPhat/Báo cáo tài chính riêng Qúy II năm 2025.pdf,HPG_PCFS_2025Q2,1
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,Báo cáo tài chính riêng Qúy III năm 2025.pdf,Báo cáo tài chính riêng Qúy III năm 2025.pdf,local://material/HoaPhat/Báo cáo tài chính riêng Qúy III năm 2025.pdf,HPG_PCFS_2025Q3,1
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,Báo cáo tài chính riêng Qúy IV năm 2025.pdf,Báo cáo tài chính riêng Qúy IV năm 2025.pdf,local://material/HoaPhat/Báo cáo tài chính riêng Qúy IV năm 2025.pdf,HPG_PCFS_2025Q4,1
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,Báo cáo tài chính riêng đã soát xét 30.06.2025.pdf,Báo cáo tài chính riêng đã soát xét 30.06.2025.pdf,local://material/HoaPhat/Báo cáo tài chính riêng đã soát xét 30.06.2025.pdf,HPG_PCFS_2025H1,1
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,Bản cáo bạch Tập đoàn Hòa Phát.pdf,Bản cáo bạch Tập đoàn Hòa Phát.pdf,local://material/HoaPhat/Bản cáo bạch Tập đoàn Hòa Phát.pdf,HPG_PRO,1
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,CBTT - Công văn giải trình BCTC kiểm toán Công ty mẹ năm 2025.pdf,CBTT - Công văn giải trình BCTC kiểm toán Công ty mẹ năm 2025.pdf,local://material/HoaPhat/CBTT - Công văn giải trình BCTC kiểm toán Công ty mẹ năm 2025.pdf,HPG_EXP_PCFS_AU_2025FY,1
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,CBTT - Công văn giải trình BCTC kiểm toán hợp nhất năm 2025.pdf,CBTT - Công văn giải trình BCTC kiểm toán hợp nhất năm 2025.pdf,local://material/HoaPhat/CBTT - Công văn giải trình BCTC kiểm toán hợp nhất năm 2025.pdf,HPG_EXP_CFS_AU_2025FY,1
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,Giải trình KQKD báo cáo tài chính Công ty mẹ năm 2024.pdf,Giải trình KQKD báo cáo tài chính Công ty mẹ năm 2024.pdf,local://material/HoaPhat/Giải trình KQKD báo cáo tài chính Công ty mẹ năm 2024.pdf,HPG_EXP_BR_PCFS_2024FY,1
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,Giải trình KQKD báo cáo tài chính hợp nhất năm 2024.pdf,Giải trình KQKD báo cáo tài chính hợp nhất năm 2024.pdf,local://material/HoaPhat/Giải trình KQKD báo cáo tài chính hợp nhất năm 2024.pdf,HPG_EXP_BR_CFS_2024FY,1
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,Giải trình KQKD hợp nhất 6 tháng đầu năm 2025.pdf,Giải trình KQKD hợp nhất 6 tháng đầu năm 2025.pdf,local://material/HoaPhat/Giải trình KQKD hợp nhất 6 tháng đầu năm 2025.pdf,HPG_EXP_BR_CFS_2025FY,1
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,Phụ lục I Giấy chứng nhận đăng ký kinh doanh.pdf,Phụ lục I Giấy chứng nhận đăng ký kinh doanh.pdf,local://material/HoaPhat/Phụ lục I Giấy chứng nhận đăng ký kinh doanh.pdf,HPG_AN1_BRC,1
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,Phụ lục II Điều lệ công ty.pdf,Phụ lục II Điều lệ công ty.pdf,local://material/HoaPhat/Phụ lục II Điều lệ công ty.pdf,HPG_AN2_AOA,1
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,Phụ lục III Báo cáo kiểm toán năm 2005.pdf,Phụ lục III Báo cáo kiểm toán năm 2005.pdf,local://material/HoaPhat/Phụ lục III Báo cáo kiểm toán năm 2005.pdf,HPG_AN3_AUR_2025FY,1
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,Phụ lục IV Báo cáo kiểm toán năm 2006.pdf,Phụ lục IV Báo cáo kiểm toán năm 2006.pdf,local://material/HoaPhat/Phụ lục IV Báo cáo kiểm toán năm 2006.pdf,HPG_AN4_AUR_2006FY,1
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,Phụ lục V Báo cáo kiểm toán Qúy I năm 2007.pdf,Phụ lục V Báo cáo kiểm toán Qúy I năm 2007.pdf,local://material/HoaPhat/Phụ lục V Báo cáo kiểm toán Qúy I năm 2007.pdf,HPG_AN5_AUR_2007Q1,1
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,Phụ lục VI Báo cáo tình hình góp vốn.pdf,Phụ lục VI Báo cáo tình hình góp vốn.pdf,local://material/HoaPhat/Phụ lục VI Báo cáo tình hình góp vốn.pdf,HPG_AN6_CAP,1
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,Tổng quan tình hình kinh doanh Quý I2026.pdf,Tổng quan tình hình kinh doanh Quý I2026.pdf,local://material/HoaPhat/Tổng quan tình hình kinh doanh Quý I2026.pdf,HPG_BUO_2026Q1,1
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,Tổng quan tình hình kinh doanh Quý IV năm 2024.pdf,Tổng quan tình hình kinh doanh Quý IV năm 2024.pdf,local://material/HoaPhat/Tổng quan tình hình kinh doanh Quý IV năm 2024.pdf,HPG_BUO_2024Q4,1
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,Tổng quan tình hình kinh doanh Qúy I năm 2025.pdf,Tổng quan tình hình kinh doanh Qúy I năm 2025.pdf,local://material/HoaPhat/Tổng quan tình hình kinh doanh Qúy I năm 2025.pdf,HPG_BUO_2025Q1,1
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,Tổng quan tình hình kinh doanh Qúy II năm 2025.pdf,Tổng quan tình hình kinh doanh Qúy II năm 2025.pdf,local://material/HoaPhat/Tổng quan tình hình kinh doanh Qúy II năm 2025.pdf,HPG_BUO_2025Q2,1
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,Tổng quan tình hình kinh doanh Qúy III năm 2025.pdf,Tổng quan tình hình kinh doanh Qúy III năm 2025.pdf,local://material/HoaPhat/Tổng quan tình hình kinh doanh Qúy III năm 2025.pdf,HPG_BUO_2025Q3,1
HoaPhat,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\HoaPhat,Tổng quan tình hình kinh doanh Qúy IV năm 2025.pdf,Tổng quan tình hình kinh doanh Qúy IV năm 2025.pdf,local://material/HoaPhat/Tổng quan tình hình kinh doanh Qúy IV năm 2025.pdf,HPG_BUO_2025Q4,1
TheGioiDiDong,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\TheGioiDiDong,Báo cáo kết quả giao dịch cổ phiếu của người liên quan của người nội bộ _Nguyễn Thị Thu Tâm 27032024 27032024.pdf,Báo cáo kết quả giao dịch cổ phiếu của người liên quan của người nội bộ _Nguyễn Thị Thu Tâm 27032024 27032024.pdf,local://material/TheGioiDiDong/Báo cáo kết quả giao dịch cổ phiếu của người liên quan của người nội bộ _Nguyễn Thị Thu Tâm 27032024 27032024.pdf,x,0
TheGioiDiDong,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\TheGioiDiDong,Báo Cáo Kết Quả Giao Dịch Cổ Phiếu Của Người Liên Quan Người Nội Bộ - Quỹ Mái Ấm Thế Giới Di Động 15092025 15092025.pdf,Báo Cáo Kết Quả Giao Dịch Cổ Phiếu Của Người Liên Quan Người Nội Bộ - Quỹ Mái Ấm Thế Giới Di Động 15092025 15092025.pdf,local://material/TheGioiDiDong/Báo Cáo Kết Quả Giao Dịch Cổ Phiếu Của Người Liên Quan Người Nội Bộ - Quỹ Mái Ấm Thế Giới Di Động 15092025 15092025.pdf,x,0
TheGioiDiDong,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\TheGioiDiDong,Báo Cáo Kết Quả Giao Dịch Cổ Phiếu Của Người Liên Quan Người Nội Bộ - Trịnh Quang Khải 10072026 10072026.pdf,Báo Cáo Kết Quả Giao Dịch Cổ Phiếu Của Người Liên Quan Người Nội Bộ - Trịnh Quang Khải 10072026 10072026.pdf,local://material/TheGioiDiDong/Báo Cáo Kết Quả Giao Dịch Cổ Phiếu Của Người Liên Quan Người Nội Bộ - Trịnh Quang Khải 10072026 10072026.pdf,x,0
TheGioiDiDong,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\TheGioiDiDong,Báo Cáo Kết Quả Giao Dịch Cổ Phiếu Của Người Nội Bộ - Lê Thị Thu Trang 10072026 10072026.pdf,Báo Cáo Kết Quả Giao Dịch Cổ Phiếu Của Người Nội Bộ - Lê Thị Thu Trang 10072026 10072026.pdf,local://material/TheGioiDiDong/Báo Cáo Kết Quả Giao Dịch Cổ Phiếu Của Người Nội Bộ - Lê Thị Thu Trang 10072026 10072026.pdf,x,0
TheGioiDiDong,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\TheGioiDiDong,Báo Cáo Kết Quả Giao Dịch Cổ Phiếu Của Người Nội Bộ - Lê Thị Thu Trang 11042025 11042025.pdf,Báo Cáo Kết Quả Giao Dịch Cổ Phiếu Của Người Nội Bộ - Lê Thị Thu Trang 11042025 11042025.pdf,local://material/TheGioiDiDong/Báo Cáo Kết Quả Giao Dịch Cổ Phiếu Của Người Nội Bộ - Lê Thị Thu Trang 11042025 11042025.pdf,x,0
TheGioiDiDong,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\TheGioiDiDong,Báo Cáo Kết Quả Giao Dịch Cổ Phiếu Của Người Nội Bộ - Lý Trần Kim Ngân 10072026 10072026.pdf,Báo Cáo Kết Quả Giao Dịch Cổ Phiếu Của Người Nội Bộ - Lý Trần Kim Ngân 10072026 10072026.pdf,local://material/TheGioiDiDong/Báo Cáo Kết Quả Giao Dịch Cổ Phiếu Của Người Nội Bộ - Lý Trần Kim Ngân 10072026 10072026.pdf,x,0
TheGioiDiDong,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\TheGioiDiDong,Báo Cáo Kết Quả Giao Dịch Cổ Phiếu Của Người Nội Bộ - Lý Trần Kim Ngân 11042025 11042025.pdf,Báo Cáo Kết Quả Giao Dịch Cổ Phiếu Của Người Nội Bộ - Lý Trần Kim Ngân 11042025 11042025.pdf,local://material/TheGioiDiDong/Báo Cáo Kết Quả Giao Dịch Cổ Phiếu Của Người Nội Bộ - Lý Trần Kim Ngân 11042025 11042025.pdf,x,0
TheGioiDiDong,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\TheGioiDiDong,Báo Cáo Kết Quả Giao Dịch Cổ Phiếu Của Người Nội Bộ - Nguyễn Thị Thu Thảo 11042025 11042025.pdf,Báo Cáo Kết Quả Giao Dịch Cổ Phiếu Của Người Nội Bộ - Nguyễn Thị Thu Thảo 11042025 11042025.pdf,local://material/TheGioiDiDong/Báo Cáo Kết Quả Giao Dịch Cổ Phiếu Của Người Nội Bộ - Nguyễn Thị Thu Thảo 11042025 11042025.pdf,x,0
TheGioiDiDong,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\TheGioiDiDong,Báo Cáo Kết Quả Giao Dịch Cổ Phiếu Của Người Nội Bộ - Phạm Văn Trọng 08092025 08092025.pdf,Báo Cáo Kết Quả Giao Dịch Cổ Phiếu Của Người Nội Bộ - Phạm Văn Trọng 08092025 08092025.pdf,local://material/TheGioiDiDong/Báo Cáo Kết Quả Giao Dịch Cổ Phiếu Của Người Nội Bộ - Phạm Văn Trọng 08092025 08092025.pdf,x,0
TheGioiDiDong,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\TheGioiDiDong,Báo Cáo Kết Quả Giao Dịch Cổ Phiếu Của Người Nội Bộ - Phạm Văn Trọng 19062025 19062025.pdf,Báo Cáo Kết Quả Giao Dịch Cổ Phiếu Của Người Nội Bộ - Phạm Văn Trọng 19062025 19062025.pdf,local://material/TheGioiDiDong/Báo Cáo Kết Quả Giao Dịch Cổ Phiếu Của Người Nội Bộ - Phạm Văn Trọng 19062025 19062025.pdf,x,0
TheGioiDiDong,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\TheGioiDiDong,Báo Cáo Kết Quả Giao Dịch Cổ Phiếu Của Người Nội Bộ - Trịnh Quang Khải 11042025 11042025.pdf,Báo Cáo Kết Quả Giao Dịch Cổ Phiếu Của Người Nội Bộ - Trịnh Quang Khải 11042025 11042025.pdf,local://material/TheGioiDiDong/Báo Cáo Kết Quả Giao Dịch Cổ Phiếu Của Người Nội Bộ - Trịnh Quang Khải 11042025 11042025.pdf,x,0
TheGioiDiDong,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\TheGioiDiDong,Báo Cáo Kết Quả Giao Dịch Cổ Phiếu Của Người Nội Bộ - Vũ Đăng Linh 10072026 10072026.pdf,Báo Cáo Kết Quả Giao Dịch Cổ Phiếu Của Người Nội Bộ - Vũ Đăng Linh 10072026 10072026.pdf,local://material/TheGioiDiDong/Báo Cáo Kết Quả Giao Dịch Cổ Phiếu Của Người Nội Bộ - Vũ Đăng Linh 10072026 10072026.pdf,x,0
TheGioiDiDong,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\TheGioiDiDong,Báo Cáo Kết Quả Giao Dịch Cổ Phiếu Của Người Nội Bộ - Vũ Đăng Linh 11042025 11042025.pdf,Báo Cáo Kết Quả Giao Dịch Cổ Phiếu Của Người Nội Bộ - Vũ Đăng Linh 11042025 11042025.pdf,local://material/TheGioiDiDong/Báo Cáo Kết Quả Giao Dịch Cổ Phiếu Của Người Nội Bộ - Vũ Đăng Linh 11042025 11042025.pdf,x,0
TheGioiDiDong,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\TheGioiDiDong,Báo Cáo Kết Quả Giao Dịch Cổ Phiếu Của Người Nội Bộ - Đoàn Văn Hiểu Em 07072026 07072026.pdf,Báo Cáo Kết Quả Giao Dịch Cổ Phiếu Của Người Nội Bộ - Đoàn Văn Hiểu Em 07072026 07072026.pdf,local://material/TheGioiDiDong/Báo Cáo Kết Quả Giao Dịch Cổ Phiếu Của Người Nội Bộ - Đoàn Văn Hiểu Em 07072026 07072026.pdf,x,0
TheGioiDiDong,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\TheGioiDiDong,Báo Cáo Kết Quả Giao Dịch Cổ Phiếu Của Người Nội Bộ - Đoàn Văn Hiểu Em 11042025 11042025.pdf,Báo Cáo Kết Quả Giao Dịch Cổ Phiếu Của Người Nội Bộ - Đoàn Văn Hiểu Em 11042025 11042025.pdf,local://material/TheGioiDiDong/Báo Cáo Kết Quả Giao Dịch Cổ Phiếu Của Người Nội Bộ - Đoàn Văn Hiểu Em 11042025 11042025.pdf,x,0
TheGioiDiDong,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\TheGioiDiDong,Báo Cáo Kết Quả Giao Dịch Cổ Phiếu Của Người Nội Bộ - Đoàn Văn Hiểu Em 21052026 21052026.pdf,Báo Cáo Kết Quả Giao Dịch Cổ Phiếu Của Người Nội Bộ - Đoàn Văn Hiểu Em 21052026 21052026.pdf,local://material/TheGioiDiDong/Báo Cáo Kết Quả Giao Dịch Cổ Phiếu Của Người Nội Bộ - Đoàn Văn Hiểu Em 21052026 21052026.pdf,x,0
TheGioiDiDong,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\TheGioiDiDong,Báo cáo kết quả giao dịch cổ phiếu của Người nội bộ_Nguyễn Đức Tài 10012024 10012024.pdf,Báo cáo kết quả giao dịch cổ phiếu của Người nội bộ_Nguyễn Đức Tài 10012024 10012024.pdf,local://material/TheGioiDiDong/Báo cáo kết quả giao dịch cổ phiếu của Người nội bộ_Nguyễn Đức Tài 10012024 10012024.pdf,x,0
TheGioiDiDong,E:\Project\4_RagPdf\financial-document-qa-rag\data\material\TheGioiDiDong,Báo cáo kết quả giao dịch cổ phiếu của Người nội bộ_Nguyễn Đức Tài 19062024 19062024.pdf,Báo cáo kết quả giao dịch cổ phiếu của Người nội bộ_Nguyễn Đức Tài 19062024 19062024.pdf,local://material/TheGioiDiDong/Báo cáo kết quả giao dịch cổ phiếu của Người nội bộ_Nguyễn Đức Tài 19062024 19062024.pdf,x,0
